"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_계_1세","2022년08월_계_2세","2022년08월_계_3세","2022년08월_계_4세","2022년08월_계_5세","2022년08월_계_6세","2022년08월_계_7세","2022년08월_계_8세","2022년08월_계_9세","2022년08월_계_10세","2022년08월_계_11세","2022년08월_계_12세","2022년08월_계_13세","2022년08월_계_14세","2022년08월_계_15세","2022년08월_계_16세","2022년08월_계_17세","2022년08월_계_18세","2022년08월_계_19세","2022년08월_계_20세","2022년08월_계_21세","2022년08월_계_22세","2022년08월_계_23세","2022년08월_계_24세","2022년08월_계_25세","2022년08월_계_26세","2022년08월_계_27세","2022년08월_계_28세","2022년08월_계_29세","2022년08월_계_30세","2022년08월_계_31세","2022년08월_계_32세","2022년08월_계_33세","2022년08월_계_34세","2022년08월_계_35세","2022년08월_계_36세","2022년08월_계_37세","2022년08월_계_38세","2022년08월_계_39세","2022년08월_계_40세","2022년08월_계_41세","2022년08월_계_42세","2022년08월_계_43세","2022년08월_계_44세","2022년08월_계_45세","2022년08월_계_46세","2022년08월_계_47세","2022년08월_계_48세","2022년08월_계_49세","2022년08월_계_50세","2022년08월_계_51세","2022년08월_계_52세","2022년08월_계_53세","2022년08월_계_54세","2022년08월_계_55세","2022년08월_계_56세","2022년08월_계_57세","2022년08월_계_58세","2022년08월_계_59세","2022년08월_계_60세","2022년08월_계_61세","2022년08월_계_62세","2022년08월_계_63세","2022년08월_계_64세","2022년08월_계_65세","2022년08월_계_66세","2022년08월_계_67세","2022년08월_계_68세","2022년08월_계_69세","2022년08월_계_70세","2022년08월_계_71세","2022년08월_계_72세","2022년08월_계_73세","2022년08월_계_74세","2022년08월_계_75세","2022년08월_계_76세","2022년08월_계_77세","2022년08월_계_78세","2022년08월_계_79세","2022년08월_계_80세","2022년08월_계_81세","2022년08월_계_82세","2022년08월_계_83세","2022년08월_계_84세","2022년08월_계_85세","2022년08월_계_86세","2022년08월_계_87세","2022년08월_계_88세","2022년08월_계_89세","2022년08월_계_90세","2022년08월_계_91세","2022년08월_계_92세","2022년08월_계_93세","2022년08월_계_94세","2022년08월_계_95세","2022년08월_계_96세","2022년08월_계_97세","2022년08월_계_98세","2022년08월_계_99세","2022년08월_계_100세 이상"
"전국  (0000000000)","51,558,441","51,558,441","243,024","269,417","286,380","313,812","342,461","377,913","427,897","445,340","440,274","459,694","482,154","490,404","455,814","454,617","485,668","475,095","444,010","444,797","483,824","482,463","515,096","592,284","631,703","620,836","651,657","676,139","694,559","698,256","710,396","722,184","720,474","665,077","649,038","630,604","613,308","619,878","639,215","646,442","691,077","765,442","828,980","838,059","841,403","787,241","751,334","755,627","750,571","804,448","877,180","887,180","885,279","943,970","894,604","934,367","884,829","831,735","823,035","830,883","760,869","856,261","808,445","945,046","893,601","799,002","739,373","723,659","660,933","678,964","548,122","506,422","526,857","394,414","429,572","425,655","416,400","403,670","282,101","311,697","299,529","325,150","334,815","268,294","240,798","228,298","198,840","176,340","154,487","133,772","107,803","86,545","70,896","51,888","43,136","34,642","25,571","17,931","11,461","8,288","5,476","5,501","8,469"
"서울특별시  (1100000000)","9,488,454","9,488,454","40,931","44,731","45,511","49,245","52,278","57,054","64,993","67,389","66,458","69,728","73,178","74,211","70,537","70,854","77,007","76,198","71,798","72,776","81,292","84,479","92,605","109,564","122,792","128,581","140,859","151,748","160,960","163,689","168,698","171,640","169,823","155,282","148,124","142,339","134,772","132,666","132,963","131,530","136,684","145,139","153,385","154,158","153,713","142,498","133,753","136,239","134,513","143,303","155,439","158,351","161,030","169,789","159,870","162,879","151,879","141,272","138,092","141,719","132,797","146,195","136,622","157,609","153,686","140,019","132,035","130,199","120,257","125,862","102,156","95,014","96,639","72,168","81,170","79,765","78,781","77,931","55,964","58,999","55,081","57,654","58,697","46,452","40,065","37,030","31,920","27,601","23,645","20,122","15,883","12,847","10,513","7,820","6,636","5,631","4,113","2,990","1,896","1,333","1,013","950","1,706"
"부산광역시  (2600000000)","3,331,444","3,331,444","13,658","15,036","16,198","17,852","20,364","22,513","25,675","26,473","26,238","26,789","28,061","28,338","25,610","25,484","26,966","26,108","24,518","24,974","27,421","27,885","30,119","36,364","39,985","39,231","41,301","42,472","43,304","42,718","43,470","43,884","43,785","40,097","39,633","38,074","36,554","36,586","37,680","38,547","41,697","46,689","50,909","53,019","53,365","49,035","46,140","45,408","44,600","48,947","53,042","53,905","54,299","57,745","55,744","58,113","55,867","53,361","53,041","52,340","49,708","58,305","56,762","67,112","64,281","58,899","55,960","56,352","52,562","54,508","44,340","41,875","42,679","33,709","35,504","35,078","34,070","31,422","21,193","24,574","23,185","24,843","23,969","19,814","17,287","15,773","13,068","11,437","9,682","8,296","6,463","5,077","4,229","3,038","2,346","2,062","1,574","1,052","637","472","305","276","435"
"대구광역시  (2700000000)","2,371,936","2,371,936","9,960","11,036","12,445","13,664","15,467","17,339","19,728","20,414","20,009","20,841","22,121","21,962","20,534","20,521","22,125","21,769","20,536","21,009","23,234","23,500","24,821","28,882","31,290","29,286","30,539","31,286","31,392","30,926","30,874","30,995","31,131","28,199","28,091","26,916","25,318","26,039","26,793","26,806","28,976","32,913","35,773","36,973","36,974","34,957","33,392","34,426","34,661","37,429","40,825","41,681","42,029","44,125","43,067","44,467","43,754","40,974","40,074","40,175","37,046","41,256","39,686","45,147","42,076","38,220","33,083","34,266","31,407","31,746","25,608","26,017","26,461","19,674","20,581","21,884","20,158","18,344","11,664","13,767","14,684","15,760","15,416","12,414","11,162","10,278","8,906","7,802","6,858","5,871","4,671","3,620","3,039","2,134","1,575","1,267","1,003","654","392","295","181","159","261"
"인천광역시  (2800000000)","2,963,117","2,963,117","14,468","15,688","17,005","18,963","19,923","22,144","24,886","26,204","25,440","26,747","27,853","28,967","26,442","26,516","28,009","27,666","25,587","25,350","27,503","27,484","29,302","33,264","35,745","35,433","37,617","39,807","41,045","41,829","43,522","44,627","44,868","41,498","39,787","38,429","36,794","36,912","38,613","39,111","41,568","46,233","50,062","50,967","50,857","46,961","45,157","44,432","43,635","47,672","50,776","51,910","51,582","54,578","52,148","54,386","51,842","48,730","48,844","50,659","46,671","52,362","48,799","55,267","52,447","46,051","42,437","40,223","35,777","36,429","28,570","25,942","26,612","18,477","21,287","20,953","20,531","20,461","14,305","14,863","14,095","15,175","15,281","12,155","10,701","10,357","9,026","7,811","7,087","6,065","4,814","4,118","3,359","2,512","2,070","1,734","1,230","968","570","479","274","292","433"
"광주광역시  (2900000000)","1,434,397","1,434,397","7,315","8,115","8,301","9,183","10,357","11,370","13,071","13,459","13,610","14,314","14,972","15,303","14,459","14,382","15,560","15,540","14,388","14,511","15,787","15,945","17,093","19,747","20,705","20,137","20,687","21,017","20,973","20,749","20,170","19,997","19,823","17,611","17,057","16,260","15,946","16,219","17,099","17,359","19,278","21,710","23,886","22,926","23,849","23,019","21,767","22,310","22,086","23,338","25,814","25,796","25,295","26,998","25,116","25,542","24,859","22,654","23,163","21,652","20,151","22,173","19,698","22,742","22,472","19,718","18,068","17,094","15,086","15,838","12,514","11,496","12,421","10,602","10,824","10,990","10,413","10,433","7,461","7,900","7,076","7,691","8,501","6,491","5,727","5,141","4,704","4,106","3,316","3,052","2,542","1,903","1,513","1,193","1,129","763","541","387","265","188","90","145","190"
"대전광역시  (3000000000)","1,448,240","1,448,240","7,417","7,959","8,085","8,881","9,655","11,030","12,233","12,825","12,592","13,351","13,661","14,309","13,221","13,319","14,471","14,401","13,433","13,615","15,020","14,837","16,240","18,848","20,243","20,341","21,144","22,007","21,952","21,884","21,717","21,737","21,238","19,566","18,792","18,056","17,643","17,591","17,929","17,777","18,727","20,793","22,576","23,059","22,809","21,887","21,278","21,706","21,434","22,884","25,367","25,590","24,996","26,997","25,387","27,345","25,292","22,934","21,517","22,901","19,992","22,352","22,075","25,989","23,985","20,921","19,309","19,210","17,655","17,922","14,529","12,773","13,356","9,923","11,281","10,810","10,162","9,540","6,811","7,578","7,508","7,780","8,242","6,245","5,451","5,433","4,781","4,120","3,639","3,129","2,580","2,050","1,686","1,188","1,007","811","630","411","259","186","129","124","179"
"울산광역시  (3100000000)","1,113,458","1,113,458","5,414","6,194","6,761","7,385","8,258","9,372","10,526","11,107","11,022","11,292","11,626","11,823","10,907","10,908","11,529","11,216","10,277","10,147","10,803","10,241","10,864","12,281","13,070","12,420","13,077","13,718","13,888","14,014","14,098","14,534","14,480","13,540","13,697","13,353","12,805","13,208","13,756","13,915","15,320","17,218","18,835","19,222","19,435","17,870","17,123","16,968","16,387","17,864","19,158","19,570","19,875","21,344","20,661","22,030","21,412","20,573","20,846","20,368","18,309","20,287","19,036","22,262","19,726","17,853","16,263","15,541","13,936","13,945","11,275","10,385","10,165","7,971","7,823","7,710","7,324","6,440","4,128","4,842","4,495","5,118","4,666","3,635","3,391","2,948","2,550","2,235","1,938","1,679","1,440","1,139","879","645","468","445","302","210","143","109","76","56","65"
"세종특별자치시  (3600000000)","381,439","381,439","3,147","3,635","3,757","4,224","4,597","4,971","5,492","5,652","5,455","5,632","5,753","5,715","5,282","5,259","5,231","4,823","4,391","3,975","3,975","3,529","3,515","3,662","3,742","3,511","3,529","3,601","3,825","4,108","4,471","4,939","5,299","5,296","5,455","5,548","5,858","6,206","6,304","6,614","6,970","7,732","8,730","8,521","8,519","8,024","7,281","7,180","6,683","6,991","7,198","6,680","6,370","6,523","5,707","5,776","5,199","4,640","4,268","4,463","3,902","4,284","3,977","4,804","4,276","3,900","3,469","3,406","3,212","3,220","2,516","2,172","2,297","1,648","1,903","1,902","1,576","1,558","1,088","1,163","1,195","1,189","1,267","1,070","931","913","792","713","704","623","520","429","338","258","208","187","141","90","44","38","19","32","32"
"경기도  (4100000000)","13,590,056","13,590,056","73,111","80,275","85,000","93,054","100,842","111,122","125,301","130,333","127,710","132,559","138,920","140,592","130,048","129,640","137,988","133,734","123,868","123,194","134,543","134,250","140,058","159,515","168,610","166,676","176,210","182,083","186,629","189,460","193,252","198,274","199,481","186,625","181,218","178,295","175,093","176,814","182,974","185,590","197,508","219,099","237,883","240,872","239,807","223,800","212,824","213,768","211,500","223,785","242,850","243,781","244,683","257,748","242,148","250,734","233,464","218,381","214,366","217,372","197,582","218,087","201,916","231,734","215,754","191,321","176,080","165,979","150,337","152,547","121,056","110,817","113,407","80,066","88,903","88,055","87,747","86,805","62,568","66,862","62,779","65,925","68,172","55,517","49,129","46,347","40,925","36,417","31,506","27,394","22,014","17,659","14,494","10,585","9,087","7,302","5,462","3,809","2,468","1,808","1,256","1,175","1,889"
